词语 情感分类 强度
香甜 pa 5
大户 ph 1
恬静 pe 3
凋零 nb 9
情意 pb 5
庄重 ph 5
雾里看花 nn 1
毋庸置疑 pg 9
战战兢兢 nc 7
当仁不让 ph 3
九死一生 nc 9
飞快 ph 1
宽大 ph 3
汗流浃背 nc 7
充实 pe 3
稳定 ph 1
动乱 nc 7
悠远 ph 3
肤浅 nn 7
文雅 ph 7
刚直 ph 5
含蓄 ph 3
舍身为国 ph 7
无限 ph 1
高大 ph 3
精巧 ph 5
近水楼台先得月 ph 1
胡作非为 nn 9
掉以轻心 nn 5
平稳 ph 1
呕心沥血 ph 9
排场 nn 3
明朗 ph 3
滋润 ph 3
一无所有 nb 7
俊秀 ph 5
智谋 ph 5
挫败 nb 3
刻骨铭心 pf 9
诚实 ph 5
绝色 ph 7
张口结舌 ne 5
结实 ph 5
付之东流 nj 9
冤屈 ne 9
结草衔环 pd 9
自由自在 pa 7
轻巧 ph 3
冷言冷语 nn 5
美言 ph 1
便民 ph 5
舒服 pa 3
卑躬屈膝 nn 9
恨铁不成钢 pk 5
金玉满堂 pa 5
唐突 nn 3
扑腾 ni 7
卑鄙 nn 9
走卒 nn 7
迷途知返 pa 1
缩头缩脑 nn 5
健全 ph 3
转弯抹角 nn 3
向往 pb 7
麻利 ph 3
名誉扫地 nn 9
侵吞 nn 5
愧赧 nh 5
旺盛 ph 3
气急败坏 na 9
明澈 ph 3
听从 pd 1
乖戾 nn 5
长辈 pd 3
一如既往 ph 1
健康 ph 3
骇然 nc 7
唤起 pf 3
作伪 nn 7
灵通 ph 5
甜美 ph 5
矫健 ph 5
水中捞月 nn 5
歹人 nn 7
暴殄天物 nn 9
紧张 ni 5
阔气 nn 1
极致 ph 9
涤荡 pa 1
含糊 nn 3
卑下 nn 7
端庄 ph 5
红火 pa 3
清新 ph 3
斯文 ph 5
质问 nl 9
杀人不见血 nn 9
播弄 nn 7
不三不四 nn 7
信口雌黄 nn 9
差事 nn 1
真心实意 ph 5
凄清 nb 5
标准 ph 1
趁火打劫 nn 7
俗套 nn 5
叠床架屋 nn 5
直性子 ph 5
喜爱 pb 5
简要 ph 1
胆大妄为 nn 9
人云亦云 nn 5
差劲 nn 5
晕头转向 ne 7
平白无故 ne 5
愚昧 nn 7
真心 pg 7
凋敝 nb 5
开朗 ph 5
凶险 nc 7
糟糕 nn 3
色情 nn 5
幽深 ph 5
荣幸 pa 5
四平八稳 ph 5
偏偏 ne 3
巍然 ph 3
空荡荡 nb 3
划一不二 nn 5
生死攸关 nc 9
盈余 pa 1
蹊径 ph 3
心灵 ph 7
支持 pg 5
动摇 nl 3
放纵 nn 5
日以继夜 ph 1
官官相护 nn 5
寒微 nn 5
秀气 ph 7
干脆 ph 3
饱满 ph 5
依依不舍 pb 5
怨恨 nd 9
结巴 ni 3
干燥 nn 3
繁杂 nn 3
舒展 pa 5
朴质 ph 5
攻击 nn 5
自诩 nn 5
奢华 nn 3
遵循 pd 3
对付 ne 3
倾覆 nn 5
内行 ph 5
龙腾虎跃 ph 7
跪拜 pd 3
靠不住 nl 5
残渣余孽 nn 9
冷峭 nc 1
差点儿 nj 1
瘫痪 nn 5
碍手碍脚 nd 5
姑息 nn 5
不苟言笑 ph 3
无赖 nn 7
堂堂 ph 7
汗流浃背 nh 7
粗犷 ph 5
用心 ph 5
服服帖帖 pd 5
蹉跎 nn 5
扰乱 nn 5
强暴 nn 7
寒碜 nn 7
天昏地暗 ne 5
唯唯诺诺 nc 3
呜呼哀哉 nn 3
轻飘 ph 1
心虚 nh 3
鬼魔 nc 5
勉强 ne 5
混蛋 nd 7
眷恋 pf 5
生疏 nb 3
漫长 nb 5
左支右绌 nn 3
依依不舍 pf 5
赏心悦目 pb 7
内乱 nd 3
情真词切 pg 7
遭劫 nn 5
顺意 pa 3
中计 ni 5
蛀虫 nn 5
纪念塔 pd 3
意境 ph 3
奖掖 ph 5
祝愿 pa 5
颤颤悠悠 ni 7
皱巴巴 ne 3
风风火火 ni 5
鸣冤叫屈 ne 5
空头 nn 3
低价位 pa 1
千变万化 ph 1
毫无保留地 ph 3
上赶着 nn 7
同等重要 pd 1
安国宁家 pd 3
小国寡民 pe 1
秦庭之哭 nb 7
半壁江山 nb 5
志同道合 pb 3
随群 ph 3
援救 ph 1
不简单 ph 5
皑皑 ph 1
帮教 ph 1
报恩 ph 3
嗟来之食 na 5
卷土重来 nd 3
下不来台 ne 3
烈日当空 ne 3
拘谨 ne 3
天渊之隔 ph 3
万古不变 ph 5
自言自语 nn 1
插翅难飞 ne 5
中庸之道 ph 3
饥不择食 nn 5
枝附叶连 nn 3
任其自然 nn 3
斯事体大 pd 3
毫不介意 ph 5
不可偏废 pd 1
敏感 nn 1
歌星 pb 3
青皮 nn 5
实际 pg 1
光棍 ne 3
借鉴 pd 3
战云 nd 5
针砭 ph 3
清流 ph 3
荣任 ph 5
阻挠 nn 5
新生 ph 3
即席 pd 1
于飞 ph 5
玉碎 nb 5
佳丽 ph 9
揭晓 pd 1
真谛 pg 7
知遇 pa 5
主人翁 ph 3
晶晶 ph 3
膀阔腰圆 nn 1
迷离扑朔 ne 1
奇形怪状 nn 3
特级 ph 9
浅近 ph 1
错爱 nb 3
癖好 pb 9
宝塔 pb 3
羞惭 ng 5
神经过敏 nn 3
大海捞针 nj 5
人各有志 ph 1
大处落墨 ph 1
茅室蓬户 nn 1
粉身碎骨 nc 7
了了解人意 ph 3
高倪大谈 ph 3
怠工 nn 3
露怯 nc 3
团伙 nd 5
乌云 ne 5
清寒 ph 1
教育 ph 1
地主 nd 3
地主 pd 1
灾年 ne 5
赃物 nn 7
糟粕 nn 5
遭灾 ne 5
躁急 nn 5
贼骨头 nn 5
沾染 nn 3
啁哳 ne 3
遮丑 nn 5
支离 nn 3
指使 nn 5
致使 nn 5
清介 ph 3
清绮 ph 5
清扬 ph 5
轻妙 ph 5
情愫 pb 3
琼瑶 ph 5
遒炼 ph 3
饶沃 ph 7
仁德 ph 5
荣登 pa 5
柔曼 ph 5
软语 ph 5
森森 ph 5
深通 ph 5
生机 pb 3
盛会 ph 5
盛筵 ph 5
诗圣 ph 7
帅气 ph 5
顺当 pa 3
素净 ph 3
重负 ne 5
诛灭 nn 7
转嫁 nn 5
追究 nn 5
浊重 nn 3
恣纵 nn 5
走狗 nn 7
阻梗 nn 3
钻营 nn 7
嘴硬 nn 5
罪责 nn 9
坐食 nn 5
作俑 nn 7
恬谧 ph 3
通人 ph 5
完善 ph 3
旺健 ph 5
闻名 ph 3
蓊勃 ph 5
无疆 ph 3
稀珍 ph 5
仙境 ph 5
鲜嫩 pb 5
显豁 ph 5
祥瑞 pa 5
偕老 ph 5
新雅 ph 5
欣悦 ph 5
及时雨 ph 5
济助 ph 3
寄情 pd 3
雄豪 ph 3
雄师 ph 3
秀慧 ph 5
栩栩 ph 5
绚烂 ph 5
雅爱 ph 5
雅士 ph 5
严慈 ph 5
艳冶 ph 5
怡乐 pa 5
义气 ph 5
茵茵 ph 5
英爽 ph 5
莹洁 ph 3
硬手 ph 5
优待 ph 5
幽婉 ph 5
有动 ph 5
有益 ph 5
愉乐 ph 5
煜煜 ph 5
佳话 ph 7
佳品 ph 5
嘉尚 ph 9
坚劲 ph 7
简朴 ph 5
践约 pd 3
鉴赏 ph 9
见解 ph 5
健实 ph 5
奖牌 ph 3
奖劝 pd 3
交谊 pg 3
娇黄 pb 3
娇小 pb 3
教化 ph 5
接遇 pd 3
节俭 ph 5
解放 pa 7
借助 pd 5
金口 ph 5
锦标 ph 3
韵致 ph 3
锃亮 ph 5
战功 pd 3
照耀 pa 1
真确 pg 5
珍奇 pb 7
正道 ph 5
知名 ph 5
值得 pg 5
至宝 pb 7
至友 pg 5
挚情 pb 7
忠告 ph 7
周正 ph 3
祝酒 pd 3
专家 ph 3
壮硕 ph 3
卓然 ph 7
姿容 ph 5
进贤 ph 5
奏捷 pa 5
尊称 pd 3
座上客 pd 3
尽致 ph 9
精到 ph 5
精灵 ph 7
精审 ph 3
精研 ph 3
精壮 ph 5
经用 ph 5
警省 pg 1
竞秀 ph 5
敬辞 ph 1
劲旅 ph 3
救荒 ph 3
居首 ph 3
巨子 ph 9
眷爱 pb 7
弇陋 nn 5
暗里 nn 3
白忙活儿 ne 3
卑琐 nn 9
闭塞 nn 3
血气方刚 nn 5
有心眼 nn 5
病殃殃 nd 1
先公后私 ph 9
文武全才 ph 9
贤慧 ph 9
胸怀坦荡 ph 9
养尊处优 nn 9
有所作为 ph 9
有教养 ph 9
真心真意 ph 9
震古烁今 ph 9
幽默滑稽 ph 9
衣冠楚楚 ph 9
言简意赅 ph 9
不近情理 nn 7
香甜可口 ph 9
直心眼 ph 3
五彩纷呈 ph 9
嗜杀成性 nn 9
水火不相容 nn 9
死沉沉 nn 9
死心塌地 ph 9
随风使舵 nn 9
土得掉渣 nn 9
危如累卵 nc 9
无关痛痒 nn 9
无凭无据 nn 9
险毒 nn 1
不力 nn 5
不巧 ne 5
不疼不痒 pe 1
不祥 nc 7
不足轻重 nn 9
残破 nb 1
缠手 ne 7
无特色 nn 3
玄而又玄 nn 9
嘀里嘟噜 nn 9
茕茕孑立 nb 9
装模作样 nd 9
阴险毒辣 nc 9
吵吵闹闹 nn 3
臭哄哄 nn 9
蠢头蠢脑 nn 7
粗拙 nn 5
大摇大摆 nn 5
淡而无味 nn 3
等外 nn 5
低质 nn 3
动荡不安 ni 3
发腻 nn 3
放诞 nn 9
锋芒毕露 nn 1
浮皮蹭痒 nn 7
赶尽杀绝 nd 7
够戗 nc 5
古里古怪 nn 3
挂名 nn 1
过桥抽板 nn 9
寒伧 nn 7
好容易 ne 5
黑漆寥光 nc 3
后患无穷 nc 5
哗然 pc 5
荒弃 nb 3
灰沉沉 ne 1
至尊至贵 pd 9
晦冥 nc 7
秽亵 nd 9
忠贞不渝 ph 5
资深 ph 5
最好 ph 9
倜傥不羁 ph 7
呱呱叫 ph 5
骠勇 ph 3
斐然 ph 5
皎白 ph 3
靓丽 ph 3
哀痛欲绝 nb 9
抱憾终身 nh 9
贬斥 nn 5
不是滋味 nb 3
吃错药 nn 5
火暴 na 5
垂怜 nb 3
呆愣愣 nn 3
扼腕 nb 5
烦愁 ne 5
费神 ne 5
顾虑重重 ne 5
喝斥 nn 5
惶惶然 ni 3
急巴巴 ne 7
借古讽今 nn 5
惊悚 nc 3
看低 nd 3
困迫 ne 5
懒洋洋 nn 3
骂大街 nn 5
没有好脸 ne 3
面有难色 nn 9
怒斥 nn 5
戚然 nb 3
气忿 na 5
牵念 pf 5
穷极无聊 nn 5
申讨 nn 5
痛斥 nn 7
无名火起 na 5
心焦如焚 ni 5
急于 nn 3
训诫 nn 5
疑虑重重 nl 5
原谅 pa 3
找岔子 ne 5
滞呆 nn 3
叱责 nn 5
夹七夹八 nn 7
吊祭 pf 3
奉若神明 pd 9
拱手 pd 3
魂牵梦萦 pf 5
喜不自禁 pa 5
看得上 pb 3
蔼然可亲 ph 5
满心欢喜 pa 7
安安稳稳 pe 3
偏宠 pb 7
起敬 pd 3
饶有兴趣 pb 5
安如磐石 ph 3
树碑立传 pd 7
推重 pb 5
喜兴 pa 3
行礼 pd 3
小肚鸡肠 nn 7
心胸狭窄 nn 7
行为不检 nn 9
雪上加霜 nn 9
骄傲自满 nn 5
矫揉造作 nn 7
眼光短浅 nn 9
惊爆 pc 9
表里一致 ph 5
秉持公正 ph 5
博闻 ph 5
不卑不亢 ph 5
不亢不卑 ph 7
可怖 nc 7
不懈 ph 3
才华横溢 ph 7
空幻 nn 7
朝气勃勃 ph 5
持正不阿 ph 7
赤胆 ph 5
出身名门 ph 1
懒到极点 nn 7
醇浓 pb 3
聪明绝顶 ph 7
累牍连篇 nn 5
冷噤 ne 3
簇新 ph 3
大胆泼辣 nn 3
淡泊名利 ph 3
凛凛 ph 7
滴水不漏 ph 1
秾艳 ph 3
令人疲倦 nn 7
令人窒息 ne 9
乱乎 nn 7
度量大 ph 3
多快好省 ph 3
多情善感 nn 1
盲人瞎马 nn 5
贸贸然 nn 3
没理 nn 3
没味 nn 3
没有勇气 nn 1
迷迷怔怔 ne 7
渺若烟云 ph 3
目不识丁 nn 3
奶声奶气 pb 5
胸无点墨 nn 9
贼头贼脑 nn 9
虚无缥缈 nn 9
药到病除 ph 9
一呼百诺 ph 9
有能力 ph 9
有地位 ph 9
性命攸关 ni 9
难闻 nn 5
闹哄哄 nn 7
狞恶 nn 9
蓬头散发 nn 7
偏心眼 nn 7
破烂不堪 nn 3
凄迷 nb 9
气闷 ne 5
欠周到 nn 7
轻淡 ph 1
穷困潦倒 nn 7
缺乏绅士风度 nn 5
人为财死，鸟为食亡 nn 7
认死理 nn 7
软弱无力 nn 5
丧尽天良 nn 9
傻乎乎 nn 3
涉世不深 nn 3
斯文扫地 nb 9
无端端 nn 9
非常热心 ph 3
喧噪 ne 9
一波三折 ne 9
直愣愣 nn 9
竹篮子打水 nn 9
冥顽不化 nn 9
蚍蜉撼大树 nn 9
丝毫不差 ph 9
坦荡荡 pa 7
甘之如饴 pb 3
刚直不阿 ph 5
高精尖 ph 7
高雅简朴 ph 5
耿介不阿 ph 5
够意思 ph 3
光灿 pb 1
国泰民安 ph 5
毫发不差 ph 3
好玩儿 pb 1
合乎逻辑 ph 1
赫赫有名 ph 7
爽目 ph 5
数得上 ph 3
受听 pb 3
守时间 ph 5
事关重大 nc 1
实实在在 ph 5
十分重要 pg 9
省俭 ph 3
浑身是胆 ph 3
甲等 ph 1
声名大噪 ph 7
深透 ph 5
深藏若虚 ph 7
少不得 ph 3
见微知著 ph 5
健硕 ph 3
叫真儿 nn 3
锦簇花团 ph 5
精神焕发 ph 5
经验丰富 ph 5
景色优美 ph 5
如雷贯耳 ph 9
举止文雅 ph 5
绝佳 ph 9
俊美 ph 5
饶有兴致 pb 3
确定不移 pg 9
可信任 pg 3
清新淡雅 ph 7
空前绝后 ph 9
清亮亮 ph 3
轻而易举 pa 3
俏皮 ph 5
四面楚歌 nb 9
老练 ph 3
心黑手辣 nn 9
谦顺 ph 7
千方百计 ph 7
气概不凡 ph 9
有害 nc 9
与虎谋皮 nn 9
贼去关门 nn 9
灵透 ph 5
完好如初 ph 3
万不得已 nb 7
无比幸福 pa 9
匀和 ph 3
有眉目 pa 5
优等 ph 9
学识渊博 ph 9
显耀 ph 9
无人不晓 ph 9
无偿 ph 9
铁打 ph 9
落拓不羁 nn 5
弥足珍贵 pb 3
明理 ph 5
目光如炬 ph 5
蔫不出溜 nn 3
判断正确 ph 3
哀感顽艳 ph 5
暧昧不明 nn 3
父母国 ph 5
铁打江山 ph 7
嫠不恤纬 ph 9
国尔忘家 ph 9
捐生殉国 ph 9
以身许国 ph 9
怀柔天下 ph 9
束杖理民 ph 9
海水群飞 nd 9
尸位误国 nn 7
以其昏昏，使人昭昭 nn 5
卖国求荣 nn 9
破国亡宗 nb 9
栋折榱崩 nb 7
救亡图存 ph 7
潮乎乎 ne 5
好奇 pc 3
欢畅 pa 5
舒心 pa 3
惊喜 pa 7
豁朗 pa 3
香泽 ph 5
大喜过望 pa 9
欢天喜地 pa 7
乐呵呵 pa 5
喜冲冲 pa 7
欣喜若狂 pa 9
尽情 pa 5
心满意足 pa 3
如愿 pa 3
感奋 pa 3
乐不思蜀 pa 5
陶然 pa 3
知足常乐 pa 5
好客 ph 3
惊喜欲狂 pa 9
喜笑盈腮 pa 5
尽欢而散 pa 5
普天同庆 pa 7
可心如意 pa 3
酒酣耳热 pa 5
解颐 pa 5
含笑 pa 3
狂笑 pa 7
笑颜 pa 5
热情洋溢 pa 5
感激涕零 pd 3
范进中举－喜疯了 pa 9
甜瓜地里长甘蔗－从头甜到脚 pa 5
滑稽 nn 3
燕雀相贺 pa 5
飞扬 pa 3
从轻 pa 3
爱悦 pa 5
可心 pb 5
珍视 pb 5
钟爱 pb 7
炽烈 pb 7
慈爱 ph 5
疼爱 pb 5
宠爱 nn 5
把玩 pb 3
心醉 pb 9
痴迷 pb 7
看中 pb 5
嗜好 pb 9
偏好 pb 5
相恋 pb 5
陶冶 pb 3
由衷 pb 5
友谊 pb 5
娇柔 pb 3
争气 ph 5
虎不食子 pb 1
束身自好 pb 1
呼吸相通 pb 7
形影不离 pb 7
温暖 pb 5
千里鹅毛 pb 7
息息相关 pb 5
心驰神往 pk 7
娃娃拿到新玩具－爱不释手 pb 7
绽放 pb 1
益友 pb 3
千古不灭 ph 7
暖融融 ph 1
脉脉含情 pb 5
心连心 pb 5
有过之而无不及 ph 5
宝爱 pb 7
碧绿 ph 3
拥护 pd 7
敬重 pd 5
不敢当 ni 3
惠顾 pd 3
缅怀 pf 7
仰慕 pd 7
伟绩 ph 9
诱导 nn 3
心悦诚服 pd 3
马首是瞻 pd 3
居高不下 ne 1
美意延年 ph 3
福寿双全 pk 3
福禄双全 pk 3
先行者 pd 5
依顺 pd 3
亮节高风 pd 5
拜候 pd 5
拜望 pd 5
心静 pe 3
宽心 pe 1
逍遥 pa 5
和蔼可亲 pe 1
和易 ph 3
独善其身 pe 3
仰不愧天 pe 7
若无其事 pe 3
一方平安 pe 5
安居 pe 5
怀念 pf 3
驰念 pf 1
牵肠挂肚 pf 9
翘足引领 pf 7
白云亲舍 pf 7
信从 pg 3
真实 pg 3
无可非议 pg 3
无可争议 pg 9
昂扬 ph 5
抱负 pk 5
博学多才 ph 7
称赞 ph 5
崇高 ph 7
豪壮 ph 7
干劲 ph 5
豪情 ph 7
持之以恒 ph 5
光彩 ph 5
机警 ph 5
简洁 ph 3
兢兢业业 ph 7
闯将 ph 3
大无畏 ph 7
典雅 ph 5
废寝忘食 ph 7
富强 ph 5
刻苦 ph 5
恳切 ph 5
雷厉风行 ph 7
玲珑剔透 ph 7
茂盛 ph 5
温情 pb 5
焕发 ph 5
好整以暇 ph 9
沉毅 ph 5
秀丽 ph 5
华美 ph 5
矜持 ng 5
好玩 pa 7
鹏程万里 pk 5
气冲霄汉 ph 7
谦虚 ph 5
勤快 ph 5
全心全意 ph 7
任人唯贤 ph 5
舍生忘死 ph 7
恩重如山 pg 7
目不转睛 pb 7
尊老爱幼 ph 5
孝子贤孙 ph 5
视死如归 ph 7
丸泥封关 pe 5
蔚然 ph 3
无敌 ph 9
海涵 ph 5
雅观 ph 5
异彩 ph 5
用功 ph 5
赞佩 ph 5
仗义执言 ph 5
忠厚 ph 5
贤德 ph 5
贤惠 ph 5
好心 ph 5
磊落 ph 5
爽气 ph 5
圣洁 ph 5
忠义 ph 7
厚道 ph 5
浑朴 ph 5
宽厚 ph 5
好说话 ph 5
英勇 ph 5
壮士 ph 3
宽宏 ph 5
傲骨 ph 5
英气 ph 5
深挚 ph 5
披胆 ph 5
中允 ph 5
圆通 ph 5
雄威 ph 5
安分守己 ph 5
俭省 ph 5
端重 ph 5
正统 ph 3
洪亮 ph 3
甘美 ph 5
坚韧 ph 5
坚定不移 ph 5
救灾恤邻 ph 7
团队精神 ph 5
有生气 ph 3
严格 ph 3
情面难却 ph 5
真情实意 ph 5
千恩万谢 ph 5
警戒 nc 3
扼要 ph 1
光滑 ph 3
宽敞 ph 3
浓密 ph 3
切实 ph 5
柔软 ph 5
显眼 ph 5
兴旺 ph 5
湛蓝 ph 1
澄澈 ph 3
从紧 ph 1
清丽 ph 5
矫捷 ph 5
悠悠 pe 5
英杰 ph 7
群英 ph 5
公正无私 ph 5
枵腹从公 ph 5
仗义疏财 ph 7
帮困 ph 3
解救 ph 5
救难 ph 5
沁入心扉 ph 3
叹赏 ph 5
时髦 ph 5
清秀 ph 5
亮丽 ph 5
光彩夺目 ph 5
多姿 ph 5
清廉 ph 5
清正 ph 5
硬骨头 ph 3
涅而不缁 ph 7
雅俗 ph 5
贤哲 ph 7
玉洁冰清 ph 5
振振有词 nn 5
固若金汤 ph 5
国富民安 ph 5
准确无误 ph 5
凌厉 ph 5
撼天动地 pc 7
千古不朽 ph 9
极负盛誉 ph 7
抢手 ph 1
质优价廉 ph 7
道地 ph 3
完美无缺 ph 9
俱佳 ph 3
超群绝伦 ph 9
天下无双 ph 9
别具一格 ph 7
一是一 ph 3
有目共赏 ph 5
谐美 ph 5
匠心独具 ph 7
琅琅上口 ph 3
再生父母 ph 7
昂然 ph 5
板正 ph 3
褒誉 ph 7
宝山 ph 7
爆满 ph 3
愤愤不平 na 5
啧有烦言 nn 5
暴怒 na 9
愤怒 na 5
恼火 na 5
气冲冲 na 5
义愤 na 7
挂气 na 1
愤愤 na 5
私愤 na 5
赌气 na 5
横眉 na 5
一刀两段 na 5
一气一个死 na 9
火箭筒射击－两头冒火 na 5
怫然作色 na 3
怒气冲冲 na 5
义愤填膺 na 5
上等轮胎－有气难出 na 3
誓不两立 nd 7
伤心 nb 5
悲切 nb 5
溃不成军 ni 7
哀鸣 nb 9
苦涩 nb 1
痛诉 nn 9
黯然销魂 nb 9
抱委屈 nb 1
肠断 nb 9
忧悒 nb 3
自卑 nj 3
啼泣 nb 5
悲泣 nb 5
号哭 nb 9
涕泗滂沱 nb 5
芝焚蕙叹 nb 5
苦难 nb 5
生不逢辰 nb 3
尽付东流 nb 5
依依惜别 nb 3
分香卖履 nb 7
孤立 nb 1
痛心入骨 nb 9
悼心失图 nb 9
罐子里头点蜡烛－暗中流泪 nb 5
吃了黄连对人说－诉苦 nb 1
光身子钻刺蓬－有刺又痛 nb 5
疏远 nb 3
冤沉海底 nb 5
寂廖 nb 5
败谢 nb 5
惨笑 nb 7
六神无主 nc 7
后怕 nc 5
恐惧 nc 5
谈虎色变 nc 5
闻风丧胆 nc 9
畏缩 nc 3
亡魂丧胆 nc 9
慑服 nc 1
打呼噜听见放炮－吓人一跳 nc 3
血淋淋 nc 3
惊愕失色 nc 5
惊心惮胆 nc 9
人人自危 nc 3
任重道远 ph 5
跋扈 nd 5
暴行 nd 7
草菅人命 nn 9
丑陋 nn 5
勾引 nd 1
含沙射影 nd 1
毁谤 nd 3
大肆 nn 3
毒辣 nd 9
反动 nn 5
奉承 nd 3
狼子野心 nd 3
流氓 nd 3
反感 nd 3
恶心 nd 5
痛恨 nd 9
嚣张 nd 7
欺负 nd 5
痛心疾首 nb 9
怨毒 nd 5
青面獠牙 nd 7
人面兽心 nn 9
杀戮 nd 5
滔天 nd 7
睚眦 na 5
歪缠 nn 3
妄自尊大 nn 3
文侩 nn 3
无所不用其极 nn 7
扬言 nd 5
张牙舞爪 nn 7
罪恶滔天 nn 9
小看 nn 1
视如粪土 nd 9
残毒 nn 5
可气 na 3
贪吃 nn 3
凌辱 nn 7
脸皮厚 nn 1
恶劣 nd 7
坟头上的乌鸦－人人憎 nd 5
深仇大恨 nd 9
嫉恶如仇 nd 7
耸人听闻 nn 3
狼狈万状 ng 3
视如敝屣 nd 7
狗崽子 nd 7
姘头 nd 5
寒酸 nb 3
坏东西 nn 5
地痞 nd 5
不逞之徒 nd 5
雌老虎 nd 5
长舌妇 nd 5
又哭又闹 ne 3
油乎乎 nn 3
拗口 nn 1
残虐 nd 5
悲愁 nb 5
沉郁 ne 3
担忧 nc 1
糟心 ne 3
异味 nn 1
委靡 ne 1
愁眉锁眼 ne 3
不顺心 ne 3
扫兴 ne 1
忍耐 ne 5
絮烦 nn 1
懊悔 nh 5
难堪 ne 1
窝气 ne 3
烦忧 ne 1
消极 ne 5
羊落虎口 nc 5
抑郁不平 ne 3
今仇古恨 nd 5
忧国忧民 ph 5
贫苦 ne 5
不知所以 nl 5
若有所丧 nj 3
乘兴而来，败兴而归 ne 1
无处可逃 nj 5
勉勉强强 ne 7
费力 ne 1
败北 ne 3
别嘴 ne 1
害臊 ng 5
自愧不如 ph 3
腆颜 ng 1
羞答答 ng 3
惭怍 ng 3
愧悔 nh 1
背悔 nh 3
愧痛 nh 5
自省 nh 1
壮志未酬 ne 7
惊骇 nc 7
人心浮动 ne 5
惴惴不安 ne 3
焦心 ne 3
惶惶不安 ne 5
手足无措 ni 5
激切 ph 1
慌神 ni 5
性急 ni 3
恍惚 nn 3
怀里揣着个小兔子－怦怦直跳 ni 3
胸脯长草－心慌 ni 3
举止失措 ni 5
慌慌张张 ni 3
食不甘味 ni 3
泡影 nj 5
泄劲 nj 5
令人遗憾 nj 3
意懒心灰 nj 3
井底捞月 nj 5
难上加难 ne 5
不逞 nj 3
妒意 nk 3
犯红眼病 nk 5
疑心 nl 7
生疑 nl 7
打问号 nl 5
八面光 nn 5
抱残守缺 nn 5
不学无术 nn 7
陈词滥调 nn 5
处心积虑 nn 5
贪心 nn 7
恭维 nn 1
千人唱，万人和 ph 7
大同境域 ph 7
海不波溢 ph 5
民和年丰 ph 5
太平盛世 ph 7
道路以目 nd 7
民生凋敝 nn 5
政荒民弊 nn 9
锄强扶弱 ph 3
罚不当罪 nn 3
桃李不言，下自成蹊 ph 5
陶情养性 ph 5
尺短寸长 ph 1
居之不疑 pg 5
披榛采兰 ph 3
珊瑚在网 ph 5
八仙过海，各显神通 ph 3
独当一面 ph 5
拱揖指挥 ph 5
力所能及 ph 3
拔葵去织 nn 7
一清如水 ph 7
欺公罔上 nn 9
卖法市恩 nn 9
贪墨成风 nn 9
先天下之忧而忧，后天下之乐而乐 ph 9
胸无宿物 ph 5
扶善惩恶 ph 7
义不容辞 ph 1
扶危济困 ph 7
助天为虐 nn 9
信誉卓著 ph 7
久假不归 nn 5
粗茶淡饭 nb 3
节用裕民 ph 7
省吃俭用 ph 3
浆酒霍肉 nn 9
食前方丈 nn 7
别出机杼 ph 5
独树一帜 ph 7
不召而来 pa 5
无往不利 pa 7
携泰山以超北海 nj 3
磨砖成镜 nj 1
履虎尾 nc 5
危若朝露 nc 3
奋起直追 ph 3
难乎为继 nj 3
逆水行舟 ne 1
险阻艰难 nj 1
负俗之累 ne 5
进退狼狈 ne 5
枯鱼之肆 nb 5
罗雀掘鼠 nj 3
上天无路，入地无门 nj 7
窜端匿迹 nn 3
走投无路 ne 5
韬光养晦 ph 1
以升量石 nn 5
苦乐不均 nn 5
天壤之别 ph 3
众寡不敌 nj 5
瓜熟蒂落 pg 9
龙潭虎窟 nc 5
计深虑远 ph 5
升高自下 ph 5
伯仲之间 ph 3
千难万险 nc 3
畏缩不前 nn 5
回寒倒冷 nn 5
复旧如新 ph 3
千虑一失 nh 5
一念之差 nh 3
相濡以沫 ph 5
左提右挈 ph 5
管止神行 ph 5
心手相应 ph 5
恐后无凭 nc 1
凿凿有据 pg 3
遍地开花 ph 5
一日千里 ph 5
回心转意 pe 5
蓬生麻中，不扶自直 ph 5
逾淮之橘 nn 3
乐极生悲 nn 7
有志不在年高 ph 3
群策群力 ph 3
移山倒海 ph 5
避实就虚 nn 1
扫榻以待 ph 3
狐裘羔袖 nn 3
清和平允 ph 3
老成之见 ph 3
昆山片玉 ph 7
忍辱含垢 nn 1
麟肝凤髓 ph 7
希世之宝 ph 7
入乡随俗 ph 3
固执己见 nn 5
好丹非素 nn 3
人心惟危 nn 7
神鬼莫测 ph 3
眉目不清 nn 3
泥古不化 nn 7
七老八十 nn 3
人生七十古来稀 ph 7
夭桃秾李 ph 7
安贫乐道 ph 3
烟霞痼疾 nn 3
泣如雨下 nb 5
痛哭流涕 nb 7
赏罚不明 nn 5
向平之愿 pa 3
诗礼之家 pd 5
高门大屋 ph 3
赏罚无章 nn 5
蓬户筚门 nn 1
蜗舍荆扉 nn 3
拈花微笑 pa 3
闲情逸致 pa 3
泛萍浮梗 nb 3
落魄江湖 nb 3
亘古奇闻 pc 9
形容憔悴 nb 3
病入膏肓 nb 5
偕生之疾 nb 3
三长两短 nb 3
节哀顺变 nb 3
孤苦伶仃 nb 7
孤行吊影 nb 5
克绍箕裘 pe 3
不祧之祖 ph 7
立身扬名 ph 5
名重一时 ph 5
妙语解颐 ph 7
持平之论 ph 3
一字一板 ph 3
能说会道 ph 3
