词语 情感分类 强度
起眼儿 ph 1
越轨 nn 9
令人大开眼界 ph 3
完美无疵 ph 9
朴实无华 ph 3
无上光荣 ph 9
有嘴无心 ph 9
逸乐 ph 9
心宽 ph 9
无污染 ph 9
无拘束 ph 9
闻过则喜 ph 9
谈吐不俗 ph 9
名副其实 ph 5
喷香 pb 3
哀莫大于心死 nb 9
安邦定国 ph 9
金瓯无缺 ph 7
我武惟扬 ph 9
乃心王室 ph 9
尽忠报国 ph 9
杀身报国 ph 9
忧国忘身 ph 9
济世经邦 ph 9
兴利除弊 ph 9
猫鼠同处 nd 9
四海鼎沸 ne 7
出疆载质 nn 9
委国听令 nn 9
国步艰难 nb 7
立国安邦 ph 9
溽热 nn 1
欢快 pa 5
如意 pa 3
得志 pa 3
好日子 ph 5
欢娱 pa 5
庆幸 pa 3
喜气 pa 5
兴高采烈 pa 7
快意 pa 5
艳福 pa 5
乐陶陶 pa 5
逗人 pa 5
眉开眼笑 pa 5
笑逐言开 pa 5
距跃三百 pa 7
鹊笑鸠舞 pa 7
神采飞扬 pa 5
忍俊不禁 pa 5
嫣然 pa 5
笑噱 pa 5
和颜悦色 pa 5
胡敲梆子乱击磬－欢喜若狂 pa 9
新媳妇怀孕－暗喜 pa 5
侥幸 pa 3
五世其昌 pk 5
安乐窝 pa 3
偏爱 pb 7
挂牵 pb 3
偏疼 nn 3
娇惯 nn 5
流连 pb 5
顾惜 pb 3
垂爱 pb 5
乐此不疲 pb 5
兴味 pb 3
稀罕 pb 5
一见钟情 pb 7
挺拔 ph 5
歆慕 pb 3
心动 pb 3
温顺 ph 1
不忍释手 pb 7
眷注 pb 3
束身自修 pb 1
难舍难分 pb 5
老牛舔犊 pb 7
渴望 pk 7
热望 pk 5
乖乖 pb 5
和暖 ph 3
温软 ph 1
温情脉脉 pb 5
可口 ph 1
奇妙 pc 5
尊崇 pd 9
崇敬 pd 7
称颂 ph 5
传颂 ph 5
颂扬 pd 7
先烈 pf 3
恭谨 pd 5
万寿无疆 pk 5
福寿年高 pk 3
老前辈 pd 5
从善如流 ph 5
尊贵 pd 5
拜恳 pk 3
鼻祖 pd 7
和婉 ph 3
怡和 pa 3
和顺 ph 5
娴静 pe 1
安逸 pa 3
安居乐业 pe 5
安适 pe 5
思念 pf 5
望眼欲穿 pf 9
引人深思 pf 3
妥靠 pg 3
铁定 pg 9
活脱脱 ph 5
白璧无暇 ph 9
标兵 ph 5
不同凡响 ph 9
诚挚 ph 5
出色 ph 5
恳挚 ph 5
令人鼓舞 ph 5
豪兴 ph 7
善始善终 ph 5
果断 ph 5
机智 ph 5
健美 ph 1
侃侃而谈 ph 3
淳朴 ph 5
大显神通 ph 5
动听 ph 5
丰碑 ph 7
刚毅 ph 5
夸奖 ph 5
肯切 ph 3
力挽狂澜 ph 7
流芳百世 ph 9
美不胜收 ph 5
感人肺腑 ph 3
敏捷 ph 5
能干 ph 5
果敢 ph 5
挺秀 ph 5
娇娆 ph 5
妙趣横生 pa 3
披荆斩棘 ph 7
气吞山河 ph 7
前赴后继 ph 7
勤勉 ph 1
热诚 ph 5
日新月异 ph 5
神采奕奕 ph 5
盛名 ph 9
理解 ph 5
大义灭亲 ph 7
忠心 ph 5
坦率 ph 5
推心置腹 ph 5
文从字顺 ph 5
无微不至 ph 7
闻名遐迩 ph 7
严明 ph 1
硬朗 ph 3
优美 ph 5
惊佩 ph 5
整洁 ph 5
周到 ph 5
节烈 ph 5
慈善 ph 5
正大 ph 5
堂堂正正 ph 7
朴直 ph 5
洁身自好 ph 5
笃厚 ph 5
憨厚 ph 5
妥实 ph 5
执着 ph 5
不屈 ph 5
勇武 ph 5
初生牛犊 ph 3
大度 ph 5
虚心 ph 5
浩气 ph 5
悃诚 ph 5
肝胆相照 pg 7
天公地道 ph 5
儒雅 ph 5
赳赳 ph 5
好强 ph 5
道德 ph 5
倜傥 ph 5
安分 ph 5
脆生 ph 3
赞扬 ph 5
矢志不渝 ph 7
旱苗得雨 pa 7
假以辞色 ph 3
亲切 ph 5
神韵 ph 5
含蓼问疾 ph 5
情同骨肉 pb 7
精确 ph 5
凉爽 ph 5
深思熟虑 ph 5
繁华 ph 5
健壮 ph 3
辽阔 ph 3
轻捷 ph 3
适当 ph 5
香喷喷 ph 5
雄厚 ph 5
准确 ph 5
清洌 ph 3
宽大为怀 ph 5
代代红 ph 5
急若流星 ni 5
舍己救人 ph 5
匡救 ph 5
驰援 ph 5
咏赞 ph 7
称道 ph 5
赞叹不已 ph 7
娟秀 ph 5
秀媚 ph 5
分外夺目 ph 5
毫不利己 ph 5
廉明 ph 5
道不拾遗 ph 5
圣人 ph 9
贤良 ph 5
势不可当 ph 5
惊天动地 pc 7
准儿 ph 3
其味无穷 ph 9
入木三分 ph 7
流芳千古 ph 9
声名远播 ph 7
有头有脸 ph 5
精美绝伦 ph 9
独占鳌头 ph 7
一枝独秀 ph 7
独具匠心 ph 7
鹤立鸡群 ph 9
不赖 ph 3
钢铁长城 ph 5
帮扶 ph 3
宝地 ph 7
报答 ph 5
辈出 ph 3
愤懑 na 5
悲愤 na 7
勃然大怒 na 9
含怒 na 3
恼羞成怒 na 5
忿怒 na 5
七窍生烟 na 5
发标 na 5
怒容 na 5
吹胡子 na 7
唱老生的生气－吹胡子瞪眼镜 na 7
暴跳如雷 na 9
戟指怒目 na 7
怒形于色 na 3
怒目切齿 na 5
城下之盟 ne 7
悲恸 nb 7
悲哀 nb 5
悲伤 nb 5
衔冤 ne 7
心如刀割 nb 9
痛惜 nb 7
悲酸 nb 5
举目无亲 nb 3
洒泪 nb 5
啜泣 nb 5
号啕 nb 9
最后一根稻草 ni 7
抚髀兴叹 nb 3
参辰卯酉 nd 7
倒霉 nb 3
哀感天地 nb 7
惨不忍闻 nb 9
不胜其苦 nb 5
叹息 nj 3
悲号 nb 7
诚惶诚恐 nc 5
魂飞魄散 nc 9
面如土色 nc 9
疑惧 nc 3
幽灵 nc 1
三伏天发抖－不寒而栗 nc 5
吞吞吐吐 nn 3
不可终日 nc 7
栗栗危惧 nc 5
夏日可畏 nc 3
败类 nn 7
剥削 nd 3
猖獗 nd 3
臭架子 nd 1
苟延残喘 nd 1
悍然 nn 5
伎俩 nd 3
党羽 nd 3
讹诈 nd 5
飞扬跋扈 nn 3
复辟 nd 1
老狐狸 nd 7
笼络 nd 3
厌恶 nd 7
可憎 nd 7
叛徒 nd 5
欺凌 nd 3
敲诈 nd 5
屈辱 nd 3
轻蔑 nd 7
撒赖 nn 3
伤天害理 nn 9
为所欲为 nd 5
乌合之众 nd 5
吸血鬼 nd 7
阴谋 nd 5
指鹿为马 nn 5
罪有应得 nd 5
看轻 nd 1
兽行 nd 7
贪色 nn 3
作践 nd 9
凶相毕露 nd 5
棺材老板咬牙－恨不死人 nd 3
行同狗彘 nd 7
视如寇仇 nd 7
切齿腐心 nd 9
令人作呕 nd 9
不以为然 nd 7
文人相轻 nd 3
王八蛋 nd 7
姘妇 nd 3
揶揄 nd 3
癞皮狗 nd 7
元凶 nd 3
妖孽 nd 7
骚货 nd 9
中伤 nd 5
嘈杂 nn 1
苦恼 ne 5
犯愁 ne 1
颓然 ne 1
忍气吞声 ne 7
不耐烦 ne 5
焦炙 ne 7
疑念 ne 1
愧恨 ne 7
沉寂 ne 7
愁肠寸断 ne 9
忧心如薰 ne 7
生吞蜈蚣－百爪挠心 ne 9
贫穷 ne 5
无所措手足 ne 5
不如意事常八九 ne 3
燥热 ne 3
将就 ne 1
羞愧 ng 5
脸红 ng 3
无面目见江东父老 ng 9
抱愧 nh 3
愧怍 nh 5
悔恨 nh 9
涵容 pk 1
愧悔无地 nh 9
船到江心补漏迟 nh 9
慌乱 ni 7
如坐针毡 ne 7
心焦 ne 5
张皇 ni 3
浮躁 ne 5
周章 ne 3
心如悬旌 ni 5
鞋里长草－慌了脚 ni 3
紧急 ni 3
五色无主 ni 7
脚忙手乱 ni 5
心如火焚 ne 9
死心 nj 9
心灰意冷 nj 5
不可企及 nj 7
怀揣冰棍－凉透心 nj 9
嫉妒 nk 7
醋意 nk 1
忧人发迹怕自穷 nc 1
猜忌 nl 5
疑团 nl 7
田里的蚯蚓－满肚疑 nl 1
败家子 nn 7
闭门造车 nn 5
草包 nn 7
乘人之危 nn 5
记仇 nn 5
妄求 nn 3
累世通好 ph 5
人浮于事 nn 7
繁荣昌盛 ph 7
鸿均之世 ph 5
年丰时稔 ph 5
五风十雨 ph 5
分崩离析 nj 5
人欲横流 nn 7
拨乱反治 ph 5
秋荼密网 nn 5
抑塞磊落 ph 3
鞭笞天下 ph 7
腹中兵甲 ph 7
牛刀小试 ph 3
臣门如市，臣心如水 ph 7
欺瞒夹账 nn 9
卖官鬻狱 nn 9
口快心直 ph 1
夺人所好 nn 7
营私舞弊 nn 7
缓急相济 ph 3
久要不忘 ph 7
言而不渝 ph 7
卖友求荣 nn 9
废奢长俭 ph 7
宽打窄用 ph 5
斫雕为朴 ph 9
金迷纸醉 nn 9
天下箸处 nn 7
别具只眼 ph 5
推陈出新 ph 7
地利人和 pe 5
一路顺风 pe 5
难于上天 nj 7
矢志不愈 ph 7
称体裁衣 ph 1
刚克柔克 ph 1
知之为知之，不知为不知 ph 3
唱筹量沙 ne 1
以人废言 nn 5
越凫楚乙 nn 5
东躲西藏 nn 3
大相径庭 nn 5
判若云泥 nn 7
天悬地隔 nn 3
坠茵落溷 ne 5
力疾从公 ph 5
握蛇骑虎 nc 7
日暮穷途 ne 7
一板三眼 ph 5
山重水复 ne 5
抱火寝薪 nc 5
三反四覆 nn 5
归全反真 ph 3
再作冯妇 ph 5
智者千虑，必有一失 nn 1
与人为善 ph 5
同归于尽 nj 1
良工巧匠 ph 5
艺高胆大 ph 5
三对六面 pe 1
火上浇油 nn 7
变古易常 ph 5
先天不足 nn 1
道高一尺，魔高一仗 ph 1
摇身一变 pc 7
乘风转舵 nn 5
以火救火 nn 3
海阔天空 pa 5
善气迎人 ph 1
珠联璧合 ph 7
敢怒不敢言 na 5
麟角凤嘴 ph 7
致死不悟 nn 7
我行我素 nn 5
五马分尸 nc 5
黄口稚子 nn 5
天有不测风云 nc 3
茫无头绪 ne 5
不知天高地厚 nn 5
洞房花烛 pa 5
干啼湿哭 nb 5
泣下沾襟 nb 7
嘘唏不已 nb 5
三媒六证 pg 5
哑然失笑 pa 3
陶猗之家 ph 5
峻宇雕墙 ph 3
立锥之地 nn 1
赏信罚明 ph 5
黄道吉日 pa 3
旁门左道 nd 7
大难临头 nc 5
骨瘦如柴 nn 5
药店飞龙 nn 5
不治之症 nn 5
披麻戴孝 nb 5
鳏寡孤独 nb 7
离群索居 nb 3
相门有相 pe 5
驰名天下 ph 9
名标青史 ph 9
人死留名 ph 5
谈笑风生 ph 7
不经之谈 nn 3
混为一谈 nn 3
游谈无根 nn 5
巧言花语 nn 5
口头禅 nn 3
多嘴多舌 nn 5
唠唠叨叨 nn 3
絮絮叨叨 nn 3
即即世世 nd 3
顾名思义 ph 1
随时制宜 ph 3
没齿不忘 ph 7
顿开茅塞 pa 3
了若指掌 pg 5
先知先觉 ph 3
抚躬责己 ph 5
隐晦曲折 nn 3
耳食之谈 nn 3
靠天吃饭 nn 1
强龙不压地头蛇 nn 1
倚官仗势 nn 5
不耕而食，不蚕而衣 nn 3
欺罔视听 nn 7
甜嘴蜜舌 nn 5
鸿飞冥冥 pe 5
前门进虎，后门进狼 nc 3
在劫难逃 nc 5
草衣木食 nb 1
等米下锅 nb 1
家道壁立 nb 3
纳履踵决 nb 3
飞短流长 nn 5
薏苡明珠 ne 5
利息秋毫 ph 1
关门闭户 nj 1
豺狐之心 nn 7
瓜蔓抄 nn 7
玉粒桂薪 ne 3
债台高筑 ne 7
刚毅不讷 ph 7
无拳无勇 nn 5
鞍不离马，甲不离身 ph 5
枕戈待旦 ph 5
迟疑不决 nl 3
仓卒应战 ni 9
犹豫不定 nn 3
低首下心 nn 3
盖不由己 ne 3
锱铢必较 nn 7
张公吃酒李公醉 ne 3
鼠窜狼奔 nd 5
嘴甜心苦 nn 5
强盗挂念珠 nd 7
见事风生 nn 5
报仇雪恨 nd 7
招权纳赂 nn 5
缓不济急 ni 5
屏声息气 nc 3
歧路亡羊 nn 5
千了百当 ph 3
冬扇夏炉 nn 5
喧宾夺主 nn 5
日月交食 nn 5
漏脯充饥 nn 7
束手待毙 nn 5
抛头露面 nn 5
原形毕露 nd 7
因祸得福 pe 5
人民城郭 nb 5
联翩而至 pa 5
自相残杀 nn 7
强人所难 nn 5
有隙可乘 nn 3
欺善怕恶 nn 7
肆意横行 nn 7
横行天下 nn 7
知情不举 nn 7
博士买驴 nn 3
屦贱踊贵 nn 3
结党营私 nn 9
招降纳叛 nn 5
任其自便 nn 3
惹祸招殃 nn 5
招风惹草 nn 5
鼓噪而起 nn 5
出乖露丑 nn 5
谏鼓谤木 ph 5
高下在心 ph 3
殚智竭力 ph 7
草草收兵 nn 5
图谋不轨 nn 5
贪欢逐乐 nn 7
春深似海 pb 5
天朗气清 pb 7
秋高气肃 pb 5
天府之国 ph 9
群芳竟艳 pb 5
绿水青山 pb 7
光彩耀日 ph 5
除恶务尽 na 5
评头品足 nn 5
胆大包天 nn 7
涸泽而渔 nn 7
搔头弄姿 nd 5
逼上梁山 na 5
反客为主 ph 1
小试锋芒 ph 3
左右开弓 ph 3
出口成章 ph 7
兼资文武 ph 7
陆海潘江 ph 9
七步成诗 ph 7
神机妙算 ph 9
胸中甲兵 ph 7
卓荦超伦 ph 9
殚见洽文 ph 7
闳大不经 ph 7
通人达才 ph 7
蜀犬吠日 nn 3
真知灼见 ph 5
白日升天 pa 3
破壁飞去 pa 5
彪炳千古 ph 9
涉笔成趣 ph 7
赞不绝口 ph 9
折足覆餗 nn 5
土牛木马 nn 5
玉卮无当 nn 5
鸠形鹄面 nn 3
时通运泰 pa 5
放歌纵酒 pa 5
凤冠霞帔 pb 1
桃李满天下 pd 7
再造之恩 pd 7
藏器待时 pe 5
可操左券 pg 9
根深叶茂 ph 7
一箭双雕 ph 5
功高不赏 ph 9
不遗余力 ph 7
兼功自厉 ph 7
卧薪尝胆 ph 9
拔树寻根 ph 7
明目达聪 ph 5
手到病除 ph 5
胆略兼人 ph 3
凤鸣朝阳 ph 5
鸾翔凤集 ph 5
祥麟威凤 ph 7
下笔有神 ph 5
未雨绸缪 ph 5
仙风道骨 ph 7
一表堂堂 ph 5
感恩图报 ph 5
妙处不传 ph 5
如闻其声，如见其人 ph 3
危言危行 ph 5
执法不阿 ph 5
平地楼台 ph 5
福至心灵 ph 5
改弦易辙 ph 3
风樯阵马 ph 5
饮醇自醉 ph 3
人自为战 ph 3
及锋而试 ph 3
兵强将勇 ph 5
节节胜利 ph 5
所向披靡 ph 7
熊罴之师 ph 5
择善而从 ph 3
孺子可教 ph 5
改邪归正 ph 5
一改故辙 ph 5
袒裼裸裎 nn 5
苟合取容 nd 5
头童齿豁 nb 3
如到宝山空手回 nj 5
大厦将倾，一木难支 nb 7
兵败如山倒 nj 5
弃甲倒戈 nn 7
望风破胆 nj 5
彩凤随鸦 nj 3
一事无成 nn 5
不肖子孙 nn 5
虚度年华 nn 5
怙恶不悛 nn 9
一丘之貉 nn 5
偷东摸西 nn 7
紧行无好步 nn 1
放虎自卫 nn 7
谬种流传 nn 5
粗服乱头 nn 1
阿其所好 nn 5
冥室椟棺 nd 7
不辨龙蛇 nn 5
鹦鹉学舌 nn 3
投机倒把 nn 7
以耳为目 nn 3
咎由自取 nn 7
引狗入寨 nn 9
自讨没趣 nn 5
姗姗来迟 nn 1
何其相似乃尔 ph 1
倾家荡产 nb 5
蠹众木折 nn 5
化为泡影 nj 5
尺布斗栗 nn 1
漏泄春光 nn 1
摇旗打鼓 nn 1
徙宅忘妻 nn 7
恃勇轻敌 nn 3
伯歌季舞 ph 3
欢喜冤家 pb 1
金石交 pb 1
笙磬同音 pb 1
竹马之好 pb 1
傥来之物 pc 3
平地一声雷 pc 5
君子之交 ph 3
单相思 pf 3
赤身露体 nn 1
淡妆浓抹 nn 3
逼真逼肖 ph 5
格物穷理 ph 1
去伪存真 ph 3
追本穷源 ph 1
流言止于智者 ph 1
杅穿皮蠹 ph 3
丁一确二 ph 3
明辨是非 ph 3
南征北战 ph 1
拐弯抹角 nn 3
虚情假意 nn 9
奋勇当先 ph 7
身先士卒 ph 9
碧血丹心 ph 7
食少事繁 ph 5
风雨同舟 ph 5
问安视膳 ph 5
敬而远之 nd 5
敬贤礼士 pd 7
尊师重道 pd 7
得薄能鲜 nn 5
马齿徒增 nn 5
昂首望天 nn 5
独弦哀歌 nn 5
居功自傲 nn 5
自高其功 nn 5
贪名爱利 nn 7
封豕长蛇 nn 7
蛇吞象 nn 7
眼馋肚饱 nn 5
xixi pa 5
葱白 pb 7
我去 pc 7
BS nn 7
CC pa 5
无语 nj 5
八婆 nn 3
超爽 pa 9
包子 nn 5
_god pc 7
爱老虎油 pb 9
呕像 nn 3
MPJ nn 5
固执 nn 5
浑水摸鱼 nn 1
